Coordinates
"[34.659278, -92.35838]"
"[-29.1174093, 153.4312097]"
"[25.3870275, -80.88026316596292]"
"[50.6190962, -3.4146801]"
"[-23.4062641, 150.4693435]"
"[-32.5797992, 115.6573247]"
"[55.720063249999995, -5.2629822036099405]"
"[17.0179236, -61.7725128]"
"[-34.2107959, 18.6409129]"
"[28.5861045, -80.57549]"
"[-18.687227749999998, 146.51944492779182]"
"[37.7332634, -123.0344446]"
"[34.3190377, -119.3847029]"
"[38.4623346, -75.0512922]"
"[30.6696818, -81.4625919]"
"[30.6696818, -81.4625919]"
"[34.2701077, -77.75808806783176]"
"[44.1689049, 8.3436524]"
"[-32.7470423, 152.1687575]"
"[-32.744241450000004, 152.17092476663618]"
"[-6.6040926, 147.8536907]"
"[-6.6040926, 147.8536907]"
"[13.3426068, 144.7714638]"
"[-34.137645, 18.42467228851848]"
"[-34.1310269, 18.414769254096463]"
"[41.65787975, -82.82602787788147]"
"[-34.8617614, 135.6882728]"
"[-16.9328923, 145.99417900246635]"
"[-23.0712775, 149.95125937219586]"
"[45.3271752, 14.4412309]"
"[29.4749927, -81.1269982]"
"[38.901711, -87.6716922]"
"[-28.8429552, 153.6079901360164]"
"[-20.862898, 144.2526073309786]"
"[-39.9967743, 148.08943695264355]"
"[-11.430150099999999, -151.81990081270436]"
"[-31.9310469, 115.7548327]"
"[43.7698712, 11.2555757]"
"[43.9800086, -124.1013089]"
"[25.0004073, -80.7497882]"
"[24.6670875, -81.5831421]"
"[24.6670875, -81.5831421]"
"[24.6670875, -81.5831421]"
"[26.9171374, -82.0637547]"
"[28.2750016, -81.6414495]"
"[27.9462734, -80.4970188]"
"[48.5858898, 5.0327542]"
"[51.0791335, 1.1794073]"
"[32.6549967, -79.9406093]"
"[32.6549967, -79.9406093]"
"[44.0665635, -75.74896230456059]"
"[33.9535852, -77.93004012415346]"
"[17.13484855, -61.86072382883066]"
"[26.1223084, -80.1433786]"
"[26.1223084, -80.1433786]"
"[34.69855035, -76.69232011389579]"
"[47.262088, -68.57864907611548]"
"[32.7597937, -79.85777466479117]"
"[26.640628, -81.8723084]"
"[26.4520248, -81.948145]"
"[30.3239917, -87.27975896378913]"
"[27.47869875, -80.3030766163625]"
"[27.47869875, -80.3030766163625]"
"[27.4727144, -80.2847782]"
"[27.4727144, -80.2847782]"
"[27.4467056, -80.3256056]"
"[27.4467056, -80.3256056]"
"[27.4467056, -80.3256056]"
"[30.4057552, -86.618842]"
"[32.753177, -97.3327459]"
"[14.6027962, -61.0676724]"
"[37.1498114, -122.360111]"
"[-38.1444729, 145.1268808]"
"[-25.24672, 153.1468043687652]"
"[-25.2942219, 152.8322163]"
"[42.2966861, -89.6212271]"
"[8.479004, -13.26795]"
"[8.45414615, -13.278521222399046]"
"[-32.0558714, 115.7461693]"
"[16.3608168, -86.4484336]"
"[23.8066952, -166.2608577]"
"[44.4142458, -68.185012]"
"[-20.7369725, -48.8971324]"
"[32.3804724, -80.8462189]"
"[32.3804724, -80.8462189]"
"[26.1223084, -80.1433786]"
"[27.4467056, -80.3256056]"
"[36.5387779, -4.6233348]"
"[-33.0578717, 27.8643887]"
"[29.299328, -94.7945882]"
"[29.5696734, -94.936592]"
"[29.2221833, -94.90881]"
